"","Gene","noIR1","noIR2","IR1","IR2"
"3281","ENSMUSG00000021772",242.944363769567,174.882929738755,281.560394371998,310.382314705688
"3282","ENSMUSG00000021773",89.3177807976348,61.915074503783,109.81681070814,136.716019572744
"3283","ENSMUSG00000021774",725.260380076795,671.289755146279,792.66269383319,960.707164565225
"3284","ENSMUSG00000021775",874.123348072853,625.668121301386,2148.44617641038,1916.79554468543
"3285","ENSMUSG00000021779",287.0078022964,319.351436914249,492.111422421439,484.972366727638
"3286","ENSMUSG00000021782",0,0,0,0
"3287","ENSMUSG00000021785",1413.60274409057,1424.04671358701,1083.30568157203,1317.27732372116
"3288","ENSMUSG00000021786",422.770829108805,342.162253836695,284.863155596303,269.737011589467
"3289","ENSMUSG00000021789",0,0,0,0
"3290","ENSMUSG00000021790",0,0,0,0
"3291","ENSMUSG00000021791",0,0,0,0
"3292","ENSMUSG00000021792",697.86959396552,734.291059027321,569.726311192605,811.058548546411
"3293","ENSMUSG00000021794",2328.21681945835,2485.29281516939,2248.3547034456,2464.5833798654
"3294","ENSMUSG00000021795",0,0,0,0
"3295","ENSMUSG00000021796",691.915075245678,666.944837637241,692.754166797965,919.138104559999
"3296","ENSMUSG00000021797",2.38180748793693,0,0,0
"3297","ENSMUSG00000021798",0,0,0,0
"3298","ENSMUSG00000021799",0,0,0,0
"3299","ENSMUSG00000021803",0,3.25868813177805,2.47707091822872,0
"3300","ENSMUSG00000021804",0,0,0,0
"3301","ENSMUSG00000021806",9.52722995174771,10.8622937725935,8.2569030607624,15.7038671130854
"3302","ENSMUSG00000021807",1342.14851945246,1229.61165505758,1074.22308820519,1187.95135926046
"3303","ENSMUSG00000021809",175.062850363364,238.970462997057,60.2753923435655,137.639776461749
"3304","ENSMUSG00000021810",1213.53091510386,1122.07494670891,1138.62693207913,1304.34472727509
"3305","ENSMUSG00000021811",2228.180904965,1929.14337401261,2356.52013354159,2501.53365542561
"3306","ENSMUSG00000021814",653.806155438687,505.096660425598,494.588493339667,525.617669843859
"3307","ENSMUSG00000021815",41.6816310388962,57.5701569947456,56.1469408131843,67.4342528973668
"3308","ENSMUSG00000021816",2159.10848781483,2187.66596580033,2188.90500140811,2585.59553232506
"3309","ENSMUSG00000021819",928.904920295402,846.172684885034,1037.06702443176,1112.20329436205
"3310","ENSMUSG00000021820",845.541658217609,782.085151626732,689.45140557366,872.026503220743
"3311","ENSMUSG00000021822",5.95451871984232,1.08622937725935,13.2110448972198,9.23756889005024
"3312","ENSMUSG00000021823",791.950989739029,1023.22807337831,1072.57170759303,1172.24749214738
